hg38 state,Best matching hg19 state,Enrichments in hg38 model for the best matching hg19 state,Notable Enrichments in the hg19 model for best matching hg19 state,
1,1,136.4,"Most enriched state for CDS, UTRs, exons of protein coding genes with preference for 1st and 2nd codon position, canonical splice-site positions, PhastCons constrained elements, GWAS catalog relative to common variation, nucleosome genes and PromD2, Tx, Tx3', TxReg, and TxEnh3' chromatin states; Highest Avg. PhyloP score; Top 7 most enriched state for DHS in non-exons; Top 5 enriched for CpG islands",
2,2,88.2,"Most enriched state for cellular developmental process genes, TES of protein coding genes, EnhA1, EnhA2, EnhAF, EnhW1, EnhW2 chromatin states; Top 7 most enriched state for DHS in non-exons; Top 5 most enriched for exons of protein coding genes; Top 7 most enriched for PhastCons constrained elements; Top 5 avg PhyloP score",
3,3,150.9,Most enriched state for detection of chemical stimulus involved in sensory perception of smell genes; Second most enriched state for CDS and exons of protein coding genes with 3rd codon position preference; Top 5 most enriched for exons of protein coding genes; Top seven most enriched state for DHS in non-exons; Top 7 most enriched for PhastCons constrained elements,
4,4,52.1,Most enriched state for transcription from RNA polymerase II promoter genes; Top 5 most enriched for exons of protein coding genes; Highly enriched in regions flanking exons; Top 7 most enriched state for DHS in non-exons; Top 7 most enriched for PhastCons constrained elements; Top 5 avg PhyloP score,
5,5,43.3,"Most enriched state for DNase chromatin state, cell-cell signaling genes, Unknown class and family, and Deu, DNA and SINE family repeats; Second most enriched state for EnhA1, EnhA2, EnhAF, EnhW1, EnhW2 chromatin states; Top 7 most enriched state for DHS in non-exons; Top 7 most enriched for PhastCons constrained elements; Top 5 avg PhyloP score",
6,5,15.7,"Most enriched state for DNase chromatin state, cell-cell signaling genes, Unknown class and family, and Deu, DNA and SINE family repeats; Second most enriched state for EnhA1, EnhA2, EnhAF, EnhW1, EnhW2 chromatin states; Top 7 most enriched state for DHS in non-exons; Top 7 most enriched for PhastCons constrained elements; Top 5 avg PhyloP score",
7,6,21.8,"Most enriched state for CR1, Dong-R4, RTE-BovB and TcMar family repeats",
8,17,20.4,Most enriched state for MIR and RTE family repeats,
9,9,47.2,,
10,10,91.9,,
11,7,41.5,Most enriched state for neuromuscular process genes; Highly enriched in regions flanking exons of protein coding genes and canonical splice sites; Top 5 most enriched for CpG islands; Second most enriched for TES of protein coding genes,
12,14,74.6,Most enriched state for TxEnh5' and TxEnhW chromatin states,
13,20,43.7,,
14,19,61.0,,
15,27,72.6,,
16,27,48.5,,
17,35,69.0,,
18,36,21.9,"Most enriched state for RC class, Helitron, hAT-Charlie, hAT family repeats",
19,36,52.0,"Most enriched state for RC class, Helitron, hAT-Charlie, hAT family repeats",
20,17,22.0,Most enriched state for MIR and RTE family repeats,
21,37,21.3,,
22,37,30.3,,
23,38,65.3,,
24,13,47.7,,
25,41,48.3,Most enriched state for Gypsy family repeats,
26,18,64.0,,
27,11,65.3,,
28,47,155.1,,
29,52,128.3,,
30,53,160.3,Most enriched state for system development genes,
31,54,289.9,Most enriched state for calcium ion binding genes; Top 5 enriched for CpG islands; Top 5 most enriched for exons of protein coding genes with preference for 3rd codon position; Top 7 most enriched for PhastCons constrained elements while having low GERP++ and PhyloP base scores,
32,54,84.8,Most enriched state for calcium ion binding genes; Top 5 enriched for CpG islands; Top 5 most enriched for exons of protein coding genes with preference for 3rd codon position; Top 7 most enriched for PhastCons constrained elements while having low GERP++ and PhyloP base scores,
33,50,77.8,Most enriched state for receptor binding genes,
34,51,81.9,,
35,63,169.6,,
36,55,136.1,Most enriched state for mesonephros development genes; Top 6 most enriched state for common variation and CG dinucleotides,
37,48,53.4,,
38,49,67.2,,
39,49,93.5,,
40,49,71.3,,
41,58,130.1,,
